"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
15965,"2025-05-16 12:00","1,065"
15965,"2025-05-17 00:00",740
15965,"2025-05-17 12:00","1,143"
15965,"2025-05-18 00:00",206
15965,"2025-05-18 12:00",554
15965,"2025-05-19 00:00",65
15965,"2025-05-19 12:00",312
15965,"2025-05-20 00:00",250
15965,"2025-05-20 12:00",178
15965,"2025-05-21 12:00",31
445,"2025-04-23 00:00",11
445,"2025-04-23 12:00",110
445,"2025-04-24 00:00",35
445,"2025-04-24 12:00","3,207"
445,"2025-04-25 00:00",109
445,"2025-04-25 12:00","3,169"
445,"2025-04-26 00:00",16
445,"2025-04-26 12:00",53
445,"2025-04-27 00:00",33
445,"2025-04-27 12:00","4,837"
445,"2025-04-28 00:00",15
445,"2025-04-28 12:00",561
445,"2025-04-29 00:00",17
445,"2025-04-29 12:00",478
445,"2025-04-30 00:00",23
445,"2025-04-30 12:00",26
445,"2025-05-01 00:00",32
445,"2025-05-01 12:00",22
445,"2025-05-02 00:00",33
445,"2025-05-02 12:00",69
445,"2025-05-03 00:00","3,138"
445,"2025-05-03 12:00",69
445,"2025-05-04 00:00","11,021"
445,"2025-05-04 12:00",20
445,"2025-05-05 00:00",73
445,"2025-05-05 12:00",29
445,"2025-05-06 00:00",39
445,"2025-05-06 12:00","3,164"
445,"2025-05-07 00:00","1,652"
445,"2025-05-07 12:00",739
445,"2025-05-08 00:00",27
445,"2025-05-08 12:00","3,479"
445,"2025-05-09 00:00",170
445,"2025-05-09 12:00",51
445,"2025-05-10 00:00","3,164"
445,"2025-05-10 12:00","3,178"
445,"2025-05-11 00:00",40
445,"2025-05-11 12:00","11,045"
445,"2025-05-12 00:00",26
445,"2025-05-12 12:00",56
445,"2025-05-13 00:00",19
445,"2025-05-13 12:00",504
445,"2025-05-14 00:00","3,193"
445,"2025-05-14 12:00","3,188"
445,"2025-05-15 00:00",38
445,"2025-05-15 12:00",21
445,"2025-05-16 00:00",251
445,"2025-05-16 12:00","4,669"
445,"2025-05-17 00:00",31
445,"2025-05-17 12:00",28
445,"2025-05-18 00:00","3,178"
445,"2025-05-18 12:00",27
445,"2025-05-19 00:00",58
445,"2025-05-19 12:00",49
445,"2025-05-20 00:00",15
445,"2025-05-20 12:00",23
445,"2025-05-21 00:00",12
445,"2025-05-21 12:00",21
