"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Attempted Administrator Privilege Gain","2025-05-15 00:00","6,707"
"Attempted Administrator Privilege Gain","2025-05-15 12:00","4,885"
"Attempted Administrator Privilege Gain","2025-05-16 00:00","12,150"
"Attempted Administrator Privilege Gain","2025-05-16 12:00","5,316"
"Attempted Administrator Privilege Gain","2025-05-17 00:00","3,695"
"Attempted Administrator Privilege Gain","2025-05-17 12:00","5,188"
"Attempted Administrator Privilege Gain","2025-05-18 00:00","9,314"
"Attempted Administrator Privilege Gain","2025-05-18 12:00","8,091"
"Attempted Administrator Privilege Gain","2025-05-19 00:00","6,796"
"Attempted Administrator Privilege Gain","2025-05-19 12:00","7,344"
"Attempted Administrator Privilege Gain","2025-05-20 00:00","9,225"
"Attempted Administrator Privilege Gain","2025-05-20 12:00","1,764"
"Attempted Administrator Privilege Gain","2025-05-21 00:00","7,409"
"Attempted Administrator Privilege Gain","2025-05-21 12:00","7,041"
"Generic Protocol Command Decode","2025-04-23 00:00",756
"Generic Protocol Command Decode","2025-04-23 12:00","26,161"
"Generic Protocol Command Decode","2025-04-24 00:00","5,519"
"Generic Protocol Command Decode","2025-04-24 12:00","1,654"
"Generic Protocol Command Decode","2025-04-25 00:00","2,472"
"Generic Protocol Command Decode","2025-04-25 12:00","3,548"
"Generic Protocol Command Decode","2025-04-26 00:00","6,156"
"Generic Protocol Command Decode","2025-04-26 12:00","3,283"
"Generic Protocol Command Decode","2025-04-27 00:00","1,786"
"Generic Protocol Command Decode","2025-04-27 12:00","1,470"
"Generic Protocol Command Decode","2025-04-28 00:00","9,421"
"Generic Protocol Command Decode","2025-04-28 12:00","16,575"
"Generic Protocol Command Decode","2025-04-29 00:00","1,147"
"Generic Protocol Command Decode","2025-04-29 12:00","9,090"
"Generic Protocol Command Decode","2025-04-30 00:00","6,618"
"Generic Protocol Command Decode","2025-04-30 12:00","1,255"
"Generic Protocol Command Decode","2025-05-01 00:00","1,465"
"Generic Protocol Command Decode","2025-05-01 12:00","1,277"
"Generic Protocol Command Decode","2025-05-02 00:00","1,142"
"Generic Protocol Command Decode","2025-05-02 12:00","1,843"
"Generic Protocol Command Decode","2025-05-03 00:00",796
"Generic Protocol Command Decode","2025-05-03 12:00","1,375"
"Generic Protocol Command Decode","2025-05-04 00:00","4,721"
"Generic Protocol Command Decode","2025-05-04 12:00","1,475"
"Generic Protocol Command Decode","2025-05-05 00:00","5,877"
"Generic Protocol Command Decode","2025-05-05 12:00","7,164"
"Generic Protocol Command Decode","2025-05-06 00:00","1,419"
"Generic Protocol Command Decode","2025-05-06 12:00","2,006"
"Generic Protocol Command Decode","2025-05-07 00:00","1,346"
"Generic Protocol Command Decode","2025-05-07 12:00","1,368"
"Generic Protocol Command Decode","2025-05-08 00:00","2,072"
"Generic Protocol Command Decode","2025-05-08 12:00","1,704"
"Generic Protocol Command Decode","2025-05-09 00:00","1,986"
"Generic Protocol Command Decode","2025-05-09 12:00","2,538"
"Generic Protocol Command Decode","2025-05-10 00:00","2,080"
"Generic Protocol Command Decode","2025-05-10 12:00","8,259"
"Generic Protocol Command Decode","2025-05-11 00:00","2,761"
"Generic Protocol Command Decode","2025-05-11 12:00","11,562"
"Generic Protocol Command Decode","2025-05-12 00:00","4,728"
"Generic Protocol Command Decode","2025-05-12 12:00","14,143"
"Generic Protocol Command Decode","2025-05-13 00:00","11,340"
"Generic Protocol Command Decode","2025-05-13 12:00","11,459"
"Generic Protocol Command Decode","2025-05-14 00:00","7,425"
"Generic Protocol Command Decode","2025-05-14 12:00","7,500"
"Generic Protocol Command Decode","2025-05-15 00:00","3,380"
"Generic Protocol Command Decode","2025-05-15 12:00","3,149"
"Generic Protocol Command Decode","2025-05-16 00:00","4,980"
"Generic Protocol Command Decode","2025-05-16 12:00","9,021"
"Generic Protocol Command Decode","2025-05-17 00:00","4,485"
"Generic Protocol Command Decode","2025-05-17 12:00","2,211"
"Generic Protocol Command Decode","2025-05-18 00:00","2,604"
"Generic Protocol Command Decode","2025-05-18 12:00","2,923"
"Generic Protocol Command Decode","2025-05-19 00:00","3,144"
"Generic Protocol Command Decode","2025-05-19 12:00","2,699"
"Generic Protocol Command Decode","2025-05-20 00:00","6,779"
"Generic Protocol Command Decode","2025-05-20 12:00","8,798"
"Generic Protocol Command Decode","2025-05-21 00:00","1,671"
"Generic Protocol Command Decode","2025-05-21 12:00","1,309"
"Misc Attack","2025-04-23 00:00","1,632"
"Misc Attack","2025-04-23 12:00","3,403"
"Misc Attack","2025-04-24 00:00","3,609"
"Misc Attack","2025-04-24 12:00","3,299"
"Misc Attack","2025-04-25 00:00","3,636"
"Misc Attack","2025-04-25 12:00","3,124"
"Misc Attack","2025-04-26 00:00","3,869"
"Misc Attack","2025-04-26 12:00","4,009"
"Misc Attack","2025-04-27 00:00","5,118"
"Misc Attack","2025-04-27 12:00","4,066"
"Misc Attack","2025-04-28 00:00","4,605"
"Misc Attack","2025-04-28 12:00","3,618"
"Misc Attack","2025-04-29 00:00","4,590"
"Misc Attack","2025-04-29 12:00","3,835"
"Misc Attack","2025-04-30 00:00","4,028"
"Misc Attack","2025-04-30 12:00","2,500"
"Misc Attack","2025-05-01 00:00","2,968"
"Misc Attack","2025-05-01 12:00","2,659"
"Misc Attack","2025-05-02 00:00","2,902"
"Misc Attack","2025-05-02 12:00","2,613"
"Misc Attack","2025-05-03 00:00","4,178"
"Misc Attack","2025-05-03 12:00","4,320"
"Misc Attack","2025-05-04 00:00","5,236"
"Misc Attack","2025-05-04 12:00","4,757"
"Misc Attack","2025-05-05 00:00","4,990"
"Misc Attack","2025-05-05 12:00","3,805"
"Misc Attack","2025-05-06 00:00","4,567"
"Misc Attack","2025-05-06 12:00","4,055"
"Misc Attack","2025-05-07 00:00","3,827"
"Misc Attack","2025-05-07 12:00","2,342"
"Misc Attack","2025-05-08 00:00","2,871"
"Misc Attack","2025-05-08 12:00","2,686"
"Misc Attack","2025-05-09 00:00","3,033"
"Misc Attack","2025-05-09 12:00","2,738"
