Honeypots,"Top 15 values of type.keyword",Attacks
Cowrie,Cowrie,"943,693"
Honeytrap,Honeytrap,"836,783"
Sentrypeer,Sentrypeer,"432,154"
Heralding,Heralding,"179,289"
Ciscoasa,Ciscoasa,"134,669"
Dionaea,Dionaea,"112,736"
Tanner,Tanner,"19,737"
H0neytr4p,H0neytr4p,"12,984"
Adbhoney,Adbhoney,"12,733"
Redishoneypot,Redishoneypot,"9,173"
ConPot,ConPot,"5,269"
Mailoney,Mailoney,"3,681"
Miniprint,Miniprint,"2,323"
ElasticPot,ElasticPot,"1,314"
Honeyaml,Honeyaml,"1,196"
