AS,ASN,Count
47890,"Unmanaged Ltd","417,408"
16276,"OVH SAS","362,029"
396982,"GOOGLE-CLOUD-PLATFORM","209,998"
14061,"DIGITALOCEAN-ASN","136,689"
4134,Chinanet,"124,323"
398019,DYNU,"118,050"
215540,"Global Connectivity Solutions Llp","102,937"
174,"COGENT-174","93,564"
36352,"AS-COLOCROSSING","59,635"
213194,"Nechaev Dmitry Sergeevich","44,146"
