"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
22,"2025-05-12 12:00","1,455"
22,"2025-05-13 00:00","1,223"
22,"2025-05-13 12:00","2,107"
22,"2025-05-14 00:00","1,564"
22,"2025-05-14 12:00","2,160"
22,"2025-05-15 00:00","2,074"
22,"2025-05-15 12:00","2,286"
22,"2025-05-16 00:00","1,952"
22,"2025-05-16 12:00","2,098"
22,"2025-05-17 00:00","1,914"
22,"2025-05-17 12:00","1,983"
22,"2025-05-18 00:00","11,214"
22,"2025-05-18 12:00","78,680"
22,"2025-05-19 00:00","38,007"
22,"2025-05-19 12:00","1,362"
22,"2025-05-20 00:00","1,424"
22,"2025-05-20 12:00","2,560"
22,"2025-05-21 00:00","2,146"
22,"2025-05-21 12:00","1,899"
5900,"2025-04-24 00:00",451
5900,"2025-04-24 12:00",451
5900,"2025-04-25 00:00",451
5900,"2025-04-27 00:00",2
5900,"2025-04-27 12:00",6
5900,"2025-04-28 00:00",255
5900,"2025-04-28 12:00",64
5900,"2025-04-29 00:00",14
5900,"2025-04-29 12:00",7
5900,"2025-04-30 00:00",7
5900,"2025-04-30 12:00",17
5900,"2025-05-01 12:00",16
5900,"2025-05-02 12:00",201
5900,"2025-05-03 00:00",701
5900,"2025-05-05 00:00","2,473"
5900,"2025-05-05 12:00","1,201"
5900,"2025-05-06 00:00","1,001"
5900,"2025-05-07 00:00","9,257"
5900,"2025-05-07 12:00",1
5900,"2025-05-08 00:00","3,814"
5900,"2025-05-08 12:00","7,183"
5900,"2025-05-09 00:00","5,024"
5900,"2025-05-09 12:00","8,206"
5900,"2025-05-10 00:00","1,001"
5900,"2025-05-10 12:00","5,784"
5900,"2025-05-11 00:00","1,969"
5900,"2025-05-11 12:00","6,151"
5900,"2025-05-12 00:00","8,956"
5900,"2025-05-12 12:00","2,715"
5900,"2025-05-13 00:00","3,758"
5900,"2025-05-13 12:00","7,048"
5900,"2025-05-14 00:00","2,902"
5900,"2025-05-14 12:00","8,189"
5900,"2025-05-15 00:00","7,334"
5900,"2025-05-15 12:00","3,670"
5900,"2025-05-16 00:00","2,473"
5900,"2025-05-16 12:00","11,248"
5900,"2025-05-17 00:00","4,098"
5900,"2025-05-17 12:00",177
5900,"2025-05-18 00:00","6,582"
5900,"2025-05-18 12:00","12,737"
5900,"2025-05-19 12:00","1,952"
5900,"2025-05-20 00:00","5,865"
5900,"2025-05-20 12:00","8,649"
5900,"2025-05-21 00:00","8,126"
5900,"2025-05-21 12:00",48
80,"2025-04-23 00:00",388
80,"2025-04-23 12:00","1,777"
80,"2025-04-24 00:00",448
80,"2025-04-24 12:00","1,208"
80,"2025-04-25 00:00","2,090"
80,"2025-04-25 12:00","1,631"
80,"2025-04-26 00:00","1,230"
80,"2025-04-26 12:00",348
80,"2025-04-27 00:00","1,494"
80,"2025-04-27 12:00","2,008"
80,"2025-04-28 00:00","3,121"
80,"2025-04-28 12:00",234
80,"2025-04-29 00:00","1,257"
80,"2025-04-29 12:00",139
80,"2025-04-30 00:00",206
80,"2025-04-30 12:00",363
80,"2025-05-01 00:00",617
80,"2025-05-01 12:00",989
80,"2025-05-02 00:00","2,010"
80,"2025-05-02 12:00","2,625"
80,"2025-05-03 00:00",138
80,"2025-05-03 12:00",207
80,"2025-05-04 00:00",303
80,"2025-05-04 12:00",295
80,"2025-05-05 00:00",182
80,"2025-05-05 12:00",190
80,"2025-05-06 00:00",192
80,"2025-05-06 12:00",118
80,"2025-05-07 00:00",94
80,"2025-05-07 12:00","2,817"
80,"2025-05-08 00:00",170
80,"2025-05-08 12:00",113
80,"2025-05-09 00:00",601
80,"2025-05-09 12:00",177
80,"2025-05-10 00:00",914
80,"2025-05-10 12:00",234
80,"2025-05-11 00:00",163
80,"2025-05-11 12:00",251
80,"2025-05-12 00:00",148
80,"2025-05-12 12:00",193
80,"2025-05-13 00:00",135
80,"2025-05-13 12:00",188
80,"2025-05-14 00:00",171
