"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Generic Protocol Command Decode","2025-05-16 12:00","5,648"
"Generic Protocol Command Decode","2025-05-17 00:00","3,257"
"Generic Protocol Command Decode","2025-05-17 12:00","3,617"
"Generic Protocol Command Decode","2025-05-18 00:00","2,703"
"Generic Protocol Command Decode","2025-05-18 12:00","2,170"
"Generic Protocol Command Decode","2025-05-19 00:00","3,722"
"Generic Protocol Command Decode","2025-05-19 12:00","2,908"
"Generic Protocol Command Decode","2025-05-20 00:00","4,144"
"Generic Protocol Command Decode","2025-05-20 12:00","2,639"
"Generic Protocol Command Decode","2025-05-21 00:00","1,843"
"Generic Protocol Command Decode","2025-05-21 12:00","3,837"
"Attempted Administrator Privilege Gain","2025-04-23 00:00",27
"Attempted Administrator Privilege Gain","2025-04-23 12:00","1,551"
"Attempted Administrator Privilege Gain","2025-04-24 00:00","2,379"
"Attempted Administrator Privilege Gain","2025-04-24 12:00","3,306"
"Attempted Administrator Privilege Gain","2025-04-25 00:00","4,050"
"Attempted Administrator Privilege Gain","2025-04-25 12:00","2,972"
"Attempted Administrator Privilege Gain","2025-04-26 00:00","4,439"
"Attempted Administrator Privilege Gain","2025-04-26 12:00","1,497"
"Attempted Administrator Privilege Gain","2025-04-27 00:00",230
"Attempted Administrator Privilege Gain","2025-04-27 12:00",401
"Attempted Administrator Privilege Gain","2025-04-28 00:00",626
"Attempted Administrator Privilege Gain","2025-04-28 12:00","4,792"
"Attempted Administrator Privilege Gain","2025-04-29 00:00",133
"Attempted Administrator Privilege Gain","2025-04-29 12:00","3,189"
"Attempted Administrator Privilege Gain","2025-04-30 00:00",854
"Attempted Administrator Privilege Gain","2025-04-30 12:00","5,981"
"Attempted Administrator Privilege Gain","2025-05-01 00:00","2,047"
"Attempted Administrator Privilege Gain","2025-05-01 12:00","3,089"
"Attempted Administrator Privilege Gain","2025-05-02 00:00","1,696"
"Attempted Administrator Privilege Gain","2025-05-02 12:00","3,634"
"Attempted Administrator Privilege Gain","2025-05-03 00:00","11,347"
"Attempted Administrator Privilege Gain","2025-05-03 12:00",258
"Attempted Administrator Privilege Gain","2025-05-04 00:00","1,437"
"Attempted Administrator Privilege Gain","2025-05-04 12:00","2,003"
"Attempted Administrator Privilege Gain","2025-05-05 00:00","2,587"
"Attempted Administrator Privilege Gain","2025-05-05 12:00","6,312"
"Attempted Administrator Privilege Gain","2025-05-06 00:00","3,718"
"Attempted Administrator Privilege Gain","2025-05-06 12:00","3,227"
"Attempted Administrator Privilege Gain","2025-05-07 00:00","12,742"
"Attempted Administrator Privilege Gain","2025-05-07 12:00","2,957"
"Attempted Administrator Privilege Gain","2025-05-08 00:00","3,903"
"Attempted Administrator Privilege Gain","2025-05-08 12:00","10,383"
"Attempted Administrator Privilege Gain","2025-05-09 00:00","7,890"
"Attempted Administrator Privilege Gain","2025-05-09 12:00","10,096"
"Attempted Administrator Privilege Gain","2025-05-10 00:00","2,436"
"Attempted Administrator Privilege Gain","2025-05-10 12:00","10,557"
"Attempted Administrator Privilege Gain","2025-05-11 00:00","2,186"
"Attempted Administrator Privilege Gain","2025-05-11 12:00","8,199"
"Attempted Administrator Privilege Gain","2025-05-12 00:00","11,107"
"Attempted Administrator Privilege Gain","2025-05-12 12:00","11,375"
"Attempted Administrator Privilege Gain","2025-05-13 00:00","5,664"
"Attempted Administrator Privilege Gain","2025-05-13 12:00","7,253"
"Attempted Administrator Privilege Gain","2025-05-14 00:00","5,061"
"Attempted Administrator Privilege Gain","2025-05-14 12:00","14,564"
"Attempted Administrator Privilege Gain","2025-05-15 00:00","9,216"
"Attempted Administrator Privilege Gain","2025-05-15 12:00","6,630"
"Attempted Administrator Privilege Gain","2025-05-16 00:00","5,457"
"Attempted Administrator Privilege Gain","2025-05-16 12:00","17,159"
"Attempted Administrator Privilege Gain","2025-05-17 00:00","4,289"
"Attempted Administrator Privilege Gain","2025-05-17 12:00","2,474"
"Attempted Administrator Privilege Gain","2025-05-18 00:00","8,435"
"Attempted Administrator Privilege Gain","2025-05-18 12:00","19,347"
"Attempted Administrator Privilege Gain","2025-05-19 00:00","2,486"
"Attempted Administrator Privilege Gain","2025-05-19 12:00","3,737"
"Attempted Administrator Privilege Gain","2025-05-20 00:00","7,477"
"Attempted Administrator Privilege Gain","2025-05-20 12:00","10,633"
"Attempted Administrator Privilege Gain","2025-05-21 00:00","11,316"
"Attempted Administrator Privilege Gain","2025-05-21 12:00","4,568"
"Misc Attack","2025-04-23 00:00","1,698"
"Misc Attack","2025-04-23 12:00","3,833"
"Misc Attack","2025-04-24 00:00","4,052"
"Misc Attack","2025-04-24 12:00","3,699"
"Misc Attack","2025-04-25 00:00","4,146"
"Misc Attack","2025-04-25 12:00","3,644"
"Misc Attack","2025-04-26 00:00","3,861"
"Misc Attack","2025-04-26 12:00","4,329"
"Misc Attack","2025-04-27 00:00","5,098"
"Misc Attack","2025-04-27 12:00","4,397"
"Misc Attack","2025-04-28 00:00","4,954"
"Misc Attack","2025-04-28 12:00","3,942"
"Misc Attack","2025-04-29 00:00","4,980"
"Misc Attack","2025-04-29 12:00","3,895"
"Misc Attack","2025-04-30 00:00","4,347"
"Misc Attack","2025-04-30 12:00","2,793"
"Misc Attack","2025-05-01 00:00","3,316"
"Misc Attack","2025-05-01 12:00","3,096"
"Misc Attack","2025-05-02 00:00","3,414"
"Misc Attack","2025-05-02 12:00","3,063"
"Misc Attack","2025-05-03 00:00","4,278"
"Misc Attack","2025-05-03 12:00","4,620"
"Misc Attack","2025-05-04 00:00","5,472"
"Misc Attack","2025-05-04 12:00","4,881"
"Misc Attack","2025-05-05 00:00","5,228"
"Misc Attack","2025-05-05 12:00","4,143"
"Misc Attack","2025-05-06 00:00","4,910"
"Misc Attack","2025-05-06 12:00","4,248"
"Misc Attack","2025-05-07 00:00","4,417"
"Misc Attack","2025-05-07 12:00","2,876"
"Misc Attack","2025-05-08 00:00","3,546"
"Misc Attack","2025-05-08 12:00","3,165"
"Misc Attack","2025-05-09 00:00","3,315"
"Misc Attack","2025-05-09 12:00","3,097"
"Misc Attack","2025-05-10 00:00","3,860"
"Misc Attack","2025-05-10 12:00","4,593"
"Misc Attack","2025-05-11 00:00","5,345"
"Misc Attack","2025-05-11 12:00","4,524"
"Misc Attack","2025-05-12 00:00","4,823"
"Misc Attack","2025-05-12 12:00","3,898"
"Misc Attack","2025-05-13 00:00","5,355"
"Misc Attack","2025-05-13 12:00","4,405"
"Misc Attack","2025-05-14 00:00","3,719"
"Misc Attack","2025-05-14 12:00","2,288"
"Misc Attack","2025-05-15 00:00","3,045"
"Misc Attack","2025-05-15 12:00","2,604"
"Misc Attack","2025-05-16 00:00","3,549"
"Misc Attack","2025-05-16 12:00","3,179"
"Misc Attack","2025-05-17 00:00","4,374"
"Misc Attack","2025-05-17 12:00","4,853"
"Misc Attack","2025-05-18 00:00","5,801"
"Misc Attack","2025-05-18 12:00","4,631"
"Misc Attack","2025-05-19 00:00","4,987"
"Misc Attack","2025-05-19 12:00","4,154"
"Misc Attack","2025-05-20 00:00","4,920"
"Misc Attack","2025-05-20 12:00","4,085"
"Misc Attack","2025-05-21 00:00","4,578"
"Misc Attack","2025-05-21 12:00","2,548"
"Attempted Information Leak","2025-04-23 00:00",432
"Attempted Information Leak","2025-04-23 12:00","1,745"
"Attempted Information Leak","2025-04-24 00:00","2,222"
"Attempted Information Leak","2025-04-24 12:00","2,090"
"Attempted Information Leak","2025-04-25 00:00","3,817"
"Attempted Information Leak","2025-04-25 12:00","2,736"
"Attempted Information Leak","2025-04-26 00:00","1,229"
"Attempted Information Leak","2025-04-26 12:00","1,498"
"Attempted Information Leak","2025-04-27 00:00","2,775"
"Attempted Information Leak","2025-04-27 12:00","1,902"
"Attempted Information Leak","2025-04-28 00:00","1,879"
"Attempted Information Leak","2025-04-28 12:00","2,364"
"Attempted Information Leak","2025-04-29 00:00","1,447"
"Attempted Information Leak","2025-04-29 12:00","4,098"
"Attempted Information Leak","2025-04-30 00:00","1,934"
"Attempted Information Leak","2025-04-30 12:00","1,140"
"Attempted Information Leak","2025-05-01 00:00","2,533"
"Attempted Information Leak","2025-05-01 12:00","2,396"
"Attempted Information Leak","2025-05-02 00:00","1,802"
"Attempted Information Leak","2025-05-02 12:00","1,409"
"Attempted Information Leak","2025-05-03 00:00","19,730"
"Attempted Information Leak","2025-05-03 12:00","1,421"
"Attempted Information Leak","2025-05-04 00:00","1,238"
"Attempted Information Leak","2025-05-04 12:00","2,511"
"Attempted Information Leak","2025-05-05 00:00","2,958"
"Attempted Information Leak","2025-05-05 12:00","1,895"
"Attempted Information Leak","2025-05-06 00:00","1,263"
"Attempted Information Leak","2025-05-06 12:00","3,988"
"Attempted Information Leak","2025-05-07 00:00","1,512"
"Attempted Information Leak","2025-05-07 12:00","2,033"
"Attempted Information Leak","2025-05-08 00:00","1,488"
"Attempted Information Leak","2025-05-08 12:00","1,665"
"Attempted Information Leak","2025-05-09 00:00","1,853"
"Attempted Information Leak","2025-05-09 12:00","1,646"
"Attempted Information Leak","2025-05-10 00:00","1,551"
"Attempted Information Leak","2025-05-10 12:00","1,697"
"Attempted Information Leak","2025-05-11 00:00","3,898"
"Attempted Information Leak","2025-05-11 12:00","3,228"
"Attempted Information Leak","2025-05-12 00:00","3,687"
"Attempted Information Leak","2025-05-12 12:00","2,428"
"Attempted Information Leak","2025-05-13 00:00","4,567"
"Attempted Information Leak","2025-05-13 12:00","2,723"
"Attempted Information Leak","2025-05-14 00:00","3,318"
"Attempted Information Leak","2025-05-14 12:00","3,558"
"Attempted Information Leak","2025-05-15 00:00","2,538"
"Attempted Information Leak","2025-05-15 12:00","1,619"
"Attempted Information Leak","2025-05-16 00:00","1,748"
"Attempted Information Leak","2025-05-16 12:00","1,727"
"Attempted Information Leak","2025-05-17 00:00","2,361"
"Attempted Information Leak","2025-05-17 12:00","5,122"
"Attempted Information Leak","2025-05-18 00:00","3,831"
"Attempted Information Leak","2025-05-18 12:00","2,551"
"Attempted Information Leak","2025-05-19 00:00","1,994"
"Attempted Information Leak","2025-05-19 12:00","1,475"
"Attempted Information Leak","2025-05-20 00:00","2,124"
"Attempted Information Leak","2025-05-20 12:00","1,754"
"Attempted Information Leak","2025-05-21 00:00","1,890"
"Attempted Information Leak","2025-05-21 12:00","1,444"
