"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Dionaea,"2025-04-24 00:00",534
Dionaea,"2025-04-24 12:00","1,950"
Dionaea,"2025-04-25 00:00","1,510"
Dionaea,"2025-04-25 12:00","1,173"
Dionaea,"2025-04-26 00:00",259
Dionaea,"2025-04-26 12:00",236
Dionaea,"2025-04-27 00:00",805
Dionaea,"2025-04-27 12:00","1,651"
Dionaea,"2025-04-28 00:00",296
Dionaea,"2025-04-28 12:00",319
Dionaea,"2025-04-29 00:00","5,777"
Dionaea,"2025-04-29 12:00",347
Dionaea,"2025-04-30 00:00","3,485"
Dionaea,"2025-04-30 12:00",178
Dionaea,"2025-05-01 00:00",383
Dionaea,"2025-05-01 12:00",286
Dionaea,"2025-05-02 00:00",390
Dionaea,"2025-05-02 12:00",292
Dionaea,"2025-05-03 00:00",259
Dionaea,"2025-05-03 12:00",220
Dionaea,"2025-05-04 00:00",224
Dionaea,"2025-05-04 12:00",288
Dionaea,"2025-05-05 00:00","6,059"
Dionaea,"2025-05-05 12:00",635
Dionaea,"2025-05-06 00:00",232
Dionaea,"2025-05-06 12:00","2,269"
Dionaea,"2025-05-07 00:00",166
Dionaea,"2025-05-07 12:00","1,105"
Dionaea,"2025-05-08 00:00",247
Dionaea,"2025-05-08 12:00","3,432"
Dionaea,"2025-05-09 00:00",572
Dionaea,"2025-05-09 12:00","22,678"
Dionaea,"2025-05-10 00:00","19,443"
Dionaea,"2025-05-10 12:00","39,187"
Dionaea,"2025-05-11 00:00","3,549"
Dionaea,"2025-05-11 12:00","4,389"
Dionaea,"2025-05-12 00:00","22,767"
Dionaea,"2025-05-12 12:00","41,373"
Dionaea,"2025-05-13 00:00","5,753"
Dionaea,"2025-05-13 12:00","70,982"
Dionaea,"2025-05-14 00:00","66,819"
Dionaea,"2025-05-14 12:00","44,023"
Dionaea,"2025-05-15 00:00","16,524"
Dionaea,"2025-05-15 12:00",246
Dionaea,"2025-05-16 00:00","1,249"
Dionaea,"2025-05-16 12:00","6,453"
Dionaea,"2025-05-17 00:00",550
Dionaea,"2025-05-17 12:00","3,594"
Dionaea,"2025-05-18 00:00",211
Dionaea,"2025-05-18 12:00",336
Dionaea,"2025-05-19 00:00",660
Dionaea,"2025-05-19 12:00",228
Dionaea,"2025-05-20 00:00",598
Dionaea,"2025-05-20 12:00",219
Dionaea,"2025-05-21 00:00","2,059"
Dionaea,"2025-05-21 12:00","3,387"
Sentrypeer,"2025-04-23 00:00",44
Sentrypeer,"2025-04-23 12:00",186
Sentrypeer,"2025-04-24 00:00","16,781"
Sentrypeer,"2025-04-24 12:00",169
Sentrypeer,"2025-04-25 00:00",38
Sentrypeer,"2025-04-25 12:00",35
Sentrypeer,"2025-04-26 00:00","34,019"
Sentrypeer,"2025-04-26 12:00",230
Sentrypeer,"2025-04-27 00:00","13,505"
Sentrypeer,"2025-04-27 12:00",260
Sentrypeer,"2025-04-28 00:00",128
Sentrypeer,"2025-04-28 12:00",66
Sentrypeer,"2025-04-29 00:00",40
Sentrypeer,"2025-04-29 12:00","24,132"
Sentrypeer,"2025-04-30 00:00",48
Sentrypeer,"2025-04-30 12:00",36
Sentrypeer,"2025-05-01 00:00",55
Sentrypeer,"2025-05-01 12:00",36
Sentrypeer,"2025-05-02 00:00",28
Sentrypeer,"2025-05-02 12:00",32
Sentrypeer,"2025-05-03 00:00",76
Sentrypeer,"2025-05-03 12:00",70
Sentrypeer,"2025-05-04 00:00",34
Sentrypeer,"2025-05-04 12:00",13
Sentrypeer,"2025-05-05 00:00",81
Sentrypeer,"2025-05-05 12:00",41
Sentrypeer,"2025-05-06 00:00",39
Sentrypeer,"2025-05-06 12:00",20
Sentrypeer,"2025-05-07 00:00",87
Sentrypeer,"2025-05-07 12:00",53
Sentrypeer,"2025-05-08 00:00","13,785"
Sentrypeer,"2025-05-08 12:00",113
Sentrypeer,"2025-05-09 00:00","15,745"
Sentrypeer,"2025-05-09 12:00",124
Sentrypeer,"2025-05-10 00:00","15,714"
Sentrypeer,"2025-05-10 12:00",108
Sentrypeer,"2025-05-11 00:00",220
Sentrypeer,"2025-05-11 12:00","47,345"
Sentrypeer,"2025-05-12 00:00","66,304"
Sentrypeer,"2025-05-12 12:00",76
Sentrypeer,"2025-05-13 00:00",62
Sentrypeer,"2025-05-13 12:00",41
Sentrypeer,"2025-05-14 00:00",87
Sentrypeer,"2025-05-14 12:00","4,297"
Sentrypeer,"2025-05-15 00:00","22,983"
Sentrypeer,"2025-05-15 12:00",108
Sentrypeer,"2025-05-16 00:00",92
Sentrypeer,"2025-05-16 12:00","27,091"
Sentrypeer,"2025-05-17 00:00",54
Sentrypeer,"2025-05-17 12:00",29
Sentrypeer,"2025-05-18 00:00",147
Sentrypeer,"2025-05-18 12:00",132
Sentrypeer,"2025-05-19 00:00","15,787"
Sentrypeer,"2025-05-19 12:00",97
Sentrypeer,"2025-05-20 00:00",42
Sentrypeer,"2025-05-20 12:00",26
Sentrypeer,"2025-05-21 00:00","83,821"
Sentrypeer,"2025-05-21 12:00",105
Heralding,"2025-04-23 00:00",37
Heralding,"2025-04-23 12:00",36
Heralding,"2025-04-24 00:00",451
Heralding,"2025-04-24 12:00",467
Heralding,"2025-04-25 00:00",457
Heralding,"2025-04-25 12:00",6
Heralding,"2025-04-26 00:00",3
Heralding,"2025-04-26 12:00",3
Heralding,"2025-04-27 00:00",17
Heralding,"2025-04-27 12:00",15
Heralding,"2025-04-28 00:00",261
Heralding,"2025-04-28 12:00",64
Heralding,"2025-04-29 00:00",19
Heralding,"2025-04-29 12:00",7
Heralding,"2025-04-30 00:00",16
Heralding,"2025-04-30 12:00",26
Heralding,"2025-05-01 00:00",3
Heralding,"2025-05-01 12:00",19
Heralding,"2025-05-02 00:00",6
Heralding,"2025-05-02 12:00",204
Heralding,"2025-05-03 00:00",723
Heralding,"2025-05-03 12:00",12
Heralding,"2025-05-04 00:00",6
Heralding,"2025-05-04 12:00",65
Heralding,"2025-05-05 00:00","2,476"
Heralding,"2025-05-05 12:00","1,207"
Heralding,"2025-05-06 00:00","1,074"
Heralding,"2025-05-06 12:00","2,292"
Heralding,"2025-05-07 00:00","9,530"
Heralding,"2025-05-07 12:00",578
Heralding,"2025-05-08 00:00","4,204"
Heralding,"2025-05-08 12:00","7,472"
Heralding,"2025-05-09 00:00","5,648"
Heralding,"2025-05-09 12:00","8,703"
Heralding,"2025-05-10 00:00","1,330"
Heralding,"2025-05-10 12:00","6,171"
Heralding,"2025-05-11 00:00","3,211"
Heralding,"2025-05-11 12:00","7,134"
Heralding,"2025-05-12 00:00","9,951"
