Honeypots,"Top 15 values of type.keyword",Attacks
Cowrie,Cowrie,"1,269,347"
Honeytrap,Honeytrap,"710,406"
Dionaea,Dionaea,"416,291"
Sentrypeer,Sentrypeer,"406,078"
Heralding,Heralding,"186,750"
Ciscoasa,Ciscoasa,"148,708"
Tanner,Tanner,"36,792"
Adbhoney,Adbhoney,"13,293"
Mailoney,Mailoney,"11,308"
Redishoneypot,Redishoneypot,"11,039"
H0neytr4p,H0neytr4p,"7,964"
ConPot,ConPot,"5,750"
Miniprint,Miniprint,"2,279"
ElasticPot,ElasticPot,"1,371"
Dicompot,Dicompot,"1,252"
