"type.keyword: Descending",Count
Cowrie,"1,269,347"
Honeytrap,"710,406"
Dionaea,"416,291"
Sentrypeer,"406,078"
Heralding,"186,750"
Ciscoasa,"148,708"
Tanner,"36,792"
Adbhoney,"13,293"
Mailoney,"11,308"
Redishoneypot,"11,039"
