AS,ASN,Count
16276,"OVH SAS","380,963"
47890,"Unmanaged Ltd","354,976"
2018,"TENET-1","326,100"
396982,"GOOGLE-CLOUD-PLATFORM","219,176"
14061,"DIGITALOCEAN-ASN","179,189"
4134,Chinanet,"128,322"
398019,DYNU,"121,102"
215540,"Global Connectivity Solutions Llp","94,391"
174,"COGENT-174","93,941"
22552,ESITED,"62,951"
