AS,ASN,Count
47890,"Unmanaged Ltd","410,950"
16276,"OVH SAS","374,414"
396982,"GOOGLE-CLOUD-PLATFORM","215,593"
14061,"DIGITALOCEAN-ASN","143,874"
27651,"ENTEL CHILE S.A.","123,116"
174,"COGENT-174","98,814"
4134,Chinanet,"69,783"
36352,"AS-COLOCROSSING","62,167"
48090,"Techoff Srv Limited","47,543"
198953,"Proton66 OOO","46,225"
