"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Generic Protocol Command Decode","2025-05-16 12:00","3,362"
"Generic Protocol Command Decode","2025-05-17 00:00","5,708"
"Generic Protocol Command Decode","2025-05-17 12:00","7,361"
"Generic Protocol Command Decode","2025-05-18 00:00","2,472"
"Generic Protocol Command Decode","2025-05-18 12:00","8,917"
"Generic Protocol Command Decode","2025-05-19 00:00","2,124"
"Generic Protocol Command Decode","2025-05-19 12:00","2,497"
"Generic Protocol Command Decode","2025-05-20 00:00","12,168"
"Generic Protocol Command Decode","2025-05-20 12:00","10,714"
"Generic Protocol Command Decode","2025-05-21 00:00","3,945"
"Generic Protocol Command Decode","2025-05-21 12:00","13,024"
"Misc Attack","2025-04-23 00:00","1,893"
"Misc Attack","2025-04-23 12:00","3,440"
"Misc Attack","2025-04-24 00:00","3,764"
"Misc Attack","2025-04-24 12:00","3,319"
"Misc Attack","2025-04-25 00:00","3,996"
"Misc Attack","2025-04-25 12:00","3,182"
"Misc Attack","2025-04-26 00:00","3,597"
"Misc Attack","2025-04-26 12:00","4,603"
"Misc Attack","2025-04-27 00:00","5,476"
"Misc Attack","2025-04-27 12:00","4,644"
"Misc Attack","2025-04-28 00:00","5,179"
"Misc Attack","2025-04-28 12:00","4,252"
"Misc Attack","2025-04-29 00:00","5,245"
"Misc Attack","2025-04-29 12:00","4,142"
"Misc Attack","2025-04-30 00:00","4,972"
"Misc Attack","2025-04-30 12:00","3,072"
"Misc Attack","2025-05-01 00:00","3,469"
"Misc Attack","2025-05-01 12:00","3,342"
"Misc Attack","2025-05-02 00:00","3,758"
"Misc Attack","2025-05-02 12:00","3,154"
"Misc Attack","2025-05-03 00:00","3,537"
"Misc Attack","2025-05-03 12:00","4,982"
"Misc Attack","2025-05-04 00:00","5,767"
"Misc Attack","2025-05-04 12:00","4,763"
"Misc Attack","2025-05-05 00:00","5,468"
"Misc Attack","2025-05-05 12:00","4,494"
"Misc Attack","2025-05-06 00:00","5,132"
"Misc Attack","2025-05-06 12:00","4,660"
"Misc Attack","2025-05-07 00:00","4,866"
"Misc Attack","2025-05-07 12:00","3,181"
"Misc Attack","2025-05-08 00:00","3,540"
"Misc Attack","2025-05-08 12:00","2,696"
"Misc Attack","2025-05-09 00:00","3,392"
"Misc Attack","2025-05-09 12:00","3,300"
"Misc Attack","2025-05-10 00:00","3,416"
"Misc Attack","2025-05-10 12:00","4,503"
"Misc Attack","2025-05-11 00:00","5,334"
"Misc Attack","2025-05-11 12:00","4,641"
"Misc Attack","2025-05-12 00:00","4,834"
"Misc Attack","2025-05-12 12:00","4,013"
"Misc Attack","2025-05-13 00:00","4,811"
"Misc Attack","2025-05-13 12:00","3,266"
"Misc Attack","2025-05-14 00:00","3,357"
"Misc Attack","2025-05-14 12:00","2,356"
"Misc Attack","2025-05-15 00:00","2,551"
"Misc Attack","2025-05-15 12:00","2,763"
"Misc Attack","2025-05-16 00:00","3,012"
"Misc Attack","2025-05-16 12:00","3,420"
"Misc Attack","2025-05-17 00:00","3,755"
"Misc Attack","2025-05-17 12:00","4,943"
"Misc Attack","2025-05-18 00:00","5,859"
"Misc Attack","2025-05-18 12:00","4,826"
"Misc Attack","2025-05-19 00:00","5,035"
"Misc Attack","2025-05-19 12:00","4,226"
"Misc Attack","2025-05-20 00:00","4,798"
"Misc Attack","2025-05-20 12:00","4,332"
"Misc Attack","2025-05-21 00:00","4,860"
"Misc Attack","2025-05-21 12:00","2,991"
"Attempted Information Leak","2025-04-23 00:00",658
"Attempted Information Leak","2025-04-23 12:00","2,264"
"Attempted Information Leak","2025-04-24 00:00","2,090"
"Attempted Information Leak","2025-04-24 12:00","2,511"
"Attempted Information Leak","2025-04-25 00:00","3,337"
"Attempted Information Leak","2025-04-25 12:00","2,603"
"Attempted Information Leak","2025-04-26 00:00","1,526"
"Attempted Information Leak","2025-04-26 12:00","2,997"
"Attempted Information Leak","2025-04-27 00:00","2,773"
"Attempted Information Leak","2025-04-27 12:00","1,315"
"Attempted Information Leak","2025-04-28 00:00","1,748"
"Attempted Information Leak","2025-04-28 12:00","5,072"
"Attempted Information Leak","2025-04-29 00:00","2,198"
"Attempted Information Leak","2025-04-29 12:00","4,103"
"Attempted Information Leak","2025-04-30 00:00","2,343"
"Attempted Information Leak","2025-04-30 12:00","1,813"
"Attempted Information Leak","2025-05-01 00:00","3,594"
"Attempted Information Leak","2025-05-01 12:00","3,113"
"Attempted Information Leak","2025-05-02 00:00","2,362"
"Attempted Information Leak","2025-05-02 12:00","2,308"
"Attempted Information Leak","2025-05-03 00:00","1,993"
"Attempted Information Leak","2025-05-03 12:00","2,325"
"Attempted Information Leak","2025-05-04 00:00","1,973"
"Attempted Information Leak","2025-05-04 12:00","1,980"
"Attempted Information Leak","2025-05-05 00:00","1,832"
"Attempted Information Leak","2025-05-05 12:00","2,083"
"Attempted Information Leak","2025-05-06 00:00","2,268"
"Attempted Information Leak","2025-05-06 12:00","2,371"
"Attempted Information Leak","2025-05-07 00:00","1,830"
"Attempted Information Leak","2025-05-07 12:00","1,337"
"Attempted Information Leak","2025-05-08 00:00","1,416"
"Attempted Information Leak","2025-05-08 12:00","1,225"
"Attempted Information Leak","2025-05-09 00:00","1,644"
"Attempted Information Leak","2025-05-09 12:00","1,396"
"Attempted Information Leak","2025-05-10 00:00","1,437"
"Attempted Information Leak","2025-05-10 12:00","1,638"
"Attempted Information Leak","2025-05-11 00:00","1,839"
