"type.keyword: Descending",Count
Cowrie,"1,049,588"
Honeytrap,"796,657"
Sentrypeer,"454,983"
Dionaea,"262,605"
Heralding,"23,998"
Ciscoasa,"23,861"
Redishoneypot,"22,303"
Tanner,"19,883"
Adbhoney,"12,800"
Mailoney,"12,756"
