"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Sentrypeer,"2025-04-23 12:00",218
Sentrypeer,"2025-04-24 00:00","28,099"
Sentrypeer,"2025-04-24 12:00",212
Sentrypeer,"2025-04-25 00:00",33
Sentrypeer,"2025-04-25 12:00",38
Sentrypeer,"2025-04-26 00:00","23,768"
Sentrypeer,"2025-04-26 12:00",148
Sentrypeer,"2025-04-27 00:00","32,853"
Sentrypeer,"2025-04-27 12:00",370
Sentrypeer,"2025-04-28 00:00",52
Sentrypeer,"2025-04-28 12:00",38
Sentrypeer,"2025-04-29 00:00","21,816"
Sentrypeer,"2025-04-29 12:00",84
Sentrypeer,"2025-04-30 00:00",37
Sentrypeer,"2025-04-30 12:00",35
Sentrypeer,"2025-05-01 00:00",60
Sentrypeer,"2025-05-01 12:00",83
Sentrypeer,"2025-05-02 00:00",27
Sentrypeer,"2025-05-02 12:00",36
Sentrypeer,"2025-05-03 00:00",95
Sentrypeer,"2025-05-03 12:00",83
Sentrypeer,"2025-05-04 00:00",76
Sentrypeer,"2025-05-04 12:00",62
Sentrypeer,"2025-05-05 00:00",75
Sentrypeer,"2025-05-05 12:00",81
Sentrypeer,"2025-05-06 00:00",230
Sentrypeer,"2025-05-06 12:00",181
Sentrypeer,"2025-05-07 00:00",262
Sentrypeer,"2025-05-07 12:00",273
Sentrypeer,"2025-05-08 00:00","14,192"
Sentrypeer,"2025-05-08 12:00",414
Sentrypeer,"2025-05-09 00:00","40,841"
Sentrypeer,"2025-05-09 12:00",587
Sentrypeer,"2025-05-10 00:00","39,964"
Sentrypeer,"2025-05-10 12:00",540
Sentrypeer,"2025-05-11 00:00",686
Sentrypeer,"2025-05-11 12:00","47,902"
Sentrypeer,"2025-05-12 00:00","38,787"
Sentrypeer,"2025-05-12 12:00",263
Sentrypeer,"2025-05-13 00:00",297
Sentrypeer,"2025-05-13 12:00",290
Sentrypeer,"2025-05-14 00:00",304
Sentrypeer,"2025-05-14 12:00",328
Sentrypeer,"2025-05-15 00:00","27,554"
Sentrypeer,"2025-05-15 12:00",267
Sentrypeer,"2025-05-16 00:00","34,341"
Sentrypeer,"2025-05-16 12:00",265
Sentrypeer,"2025-05-17 00:00",306
Sentrypeer,"2025-05-17 12:00",382
Sentrypeer,"2025-05-18 00:00",472
Sentrypeer,"2025-05-18 12:00",119
Sentrypeer,"2025-05-19 00:00","22,289"
Sentrypeer,"2025-05-19 12:00",149
Sentrypeer,"2025-05-20 00:00",44
Sentrypeer,"2025-05-20 12:00","6,466"
Sentrypeer,"2025-05-21 00:00","65,391"
Sentrypeer,"2025-05-21 12:00",464
Dionaea,"2025-04-23 00:00",186
Dionaea,"2025-04-23 12:00","3,573"
Dionaea,"2025-04-24 00:00",773
Dionaea,"2025-04-24 12:00",790
Dionaea,"2025-04-25 00:00","3,704"
Dionaea,"2025-04-25 12:00","1,226"
Dionaea,"2025-04-26 00:00",331
Dionaea,"2025-04-26 12:00","5,838"
Dionaea,"2025-04-27 00:00","4,819"
Dionaea,"2025-04-27 12:00",318
Dionaea,"2025-04-28 00:00",599
Dionaea,"2025-04-28 12:00","8,099"
Dionaea,"2025-04-29 00:00","12,052"
Dionaea,"2025-04-29 12:00","3,202"
Dionaea,"2025-04-30 00:00","10,337"
Dionaea,"2025-04-30 12:00","22,654"
Dionaea,"2025-05-01 00:00","42,438"
Dionaea,"2025-05-01 12:00","49,651"
Dionaea,"2025-05-02 00:00","3,485"
Dionaea,"2025-05-02 12:00","11,667"
Dionaea,"2025-05-03 00:00",251
Dionaea,"2025-05-03 12:00","1,520"
Dionaea,"2025-05-04 00:00","3,399"
Dionaea,"2025-05-04 12:00",201
Dionaea,"2025-05-05 00:00","2,105"
Dionaea,"2025-05-05 12:00",305
Dionaea,"2025-05-06 00:00","5,227"
Dionaea,"2025-05-06 12:00","1,072"
Dionaea,"2025-05-07 00:00",206
Dionaea,"2025-05-07 12:00",343
Dionaea,"2025-05-08 00:00",309
Dionaea,"2025-05-08 12:00",230
Dionaea,"2025-05-09 00:00",327
Dionaea,"2025-05-09 12:00",524
Dionaea,"2025-05-10 00:00","1,419"
Dionaea,"2025-05-10 12:00",689
Dionaea,"2025-05-11 00:00","2,934"
Dionaea,"2025-05-11 12:00","3,475"
Dionaea,"2025-05-12 00:00","1,089"
Dionaea,"2025-05-12 12:00","4,368"
Dionaea,"2025-05-13 00:00","1,796"
Dionaea,"2025-05-13 12:00","6,477"
Dionaea,"2025-05-14 00:00","4,323"
Dionaea,"2025-05-14 12:00",260
Dionaea,"2025-05-15 00:00",282
Dionaea,"2025-05-15 12:00",233
Dionaea,"2025-05-16 00:00",406
Dionaea,"2025-05-16 12:00","12,319"
Dionaea,"2025-05-17 00:00","2,935"
Dionaea,"2025-05-17 12:00","2,847"
Dionaea,"2025-05-18 00:00","2,531"
Dionaea,"2025-05-18 12:00",420
Dionaea,"2025-05-19 00:00","3,439"
Dionaea,"2025-05-19 12:00","1,884"
Dionaea,"2025-05-20 00:00","1,582"
Dionaea,"2025-05-20 12:00","2,392"
Dionaea,"2025-05-21 00:00",602
Dionaea,"2025-05-21 12:00","1,664"
Heralding,"2025-04-23 00:00",202
Heralding,"2025-04-23 12:00",531
Heralding,"2025-04-24 00:00",581
Heralding,"2025-04-24 12:00",537
Heralding,"2025-04-25 00:00",160
Heralding,"2025-04-25 12:00",85
Heralding,"2025-04-26 00:00",3
Heralding,"2025-04-26 12:00",3
Heralding,"2025-04-27 00:00",12
Heralding,"2025-04-27 12:00",19
Heralding,"2025-04-28 00:00",207
Heralding,"2025-04-28 12:00",249
Heralding,"2025-04-29 00:00",525
Heralding,"2025-04-29 12:00",564
Heralding,"2025-04-30 00:00",514
Heralding,"2025-04-30 12:00",570
Heralding,"2025-05-01 00:00",544
Heralding,"2025-05-01 12:00",566
Heralding,"2025-05-02 00:00",573
Heralding,"2025-05-02 12:00",557
Heralding,"2025-05-03 00:00",573
Heralding,"2025-05-03 12:00",623
Heralding,"2025-05-04 00:00",539
Heralding,"2025-05-04 12:00",617
Heralding,"2025-05-05 00:00",568
Heralding,"2025-05-05 12:00",561
Heralding,"2025-05-06 00:00",550
Heralding,"2025-05-06 12:00",694
Heralding,"2025-05-07 00:00",118
Heralding,"2025-05-08 00:00",7
Heralding,"2025-05-08 12:00",87
Heralding,"2025-05-09 00:00",6
Heralding,"2025-05-09 12:00",20
Heralding,"2025-05-10 00:00",59
Heralding,"2025-05-10 12:00",366
Heralding,"2025-05-11 00:00",481
Heralding,"2025-05-11 12:00",547
Heralding,"2025-05-12 00:00",628
Heralding,"2025-05-12 12:00",738
Heralding,"2025-05-13 00:00",779
Heralding,"2025-05-13 12:00",570
Heralding,"2025-05-14 00:00",543
Heralding,"2025-05-14 12:00",547
Heralding,"2025-05-15 00:00",562
Heralding,"2025-05-15 12:00",512
Heralding,"2025-05-16 00:00",546
Heralding,"2025-05-16 12:00",588
Heralding,"2025-05-17 00:00",549
Heralding,"2025-05-17 12:00",714
Heralding,"2025-05-18 00:00",3
Heralding,"2025-05-18 12:00",3
Heralding,"2025-05-19 12:00",57
Heralding,"2025-05-20 00:00",579
Heralding,"2025-05-20 12:00",572
Heralding,"2025-05-21 00:00",535
Heralding,"2025-05-21 12:00",576
