"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
France,"2025-05-08 12:00",328
France,"2025-05-09 00:00",415
France,"2025-05-09 12:00",267
France,"2025-05-10 00:00",306
France,"2025-05-10 12:00",708
France,"2025-05-11 00:00",529
France,"2025-05-11 12:00",217
France,"2025-05-12 00:00",782
France,"2025-05-12 12:00",302
France,"2025-05-13 00:00",292
France,"2025-05-13 12:00",319
France,"2025-05-14 00:00",680
France,"2025-05-14 12:00",269
France,"2025-05-15 00:00",269
France,"2025-05-15 12:00",245
France,"2025-05-16 00:00",281
France,"2025-05-16 12:00",277
France,"2025-05-17 00:00",763
France,"2025-05-17 12:00",255
France,"2025-05-18 00:00","5,990"
France,"2025-05-18 12:00","173,271"
France,"2025-05-19 00:00","166,414"
France,"2025-05-19 12:00",620
France,"2025-05-20 00:00",604
France,"2025-05-20 12:00",474
France,"2025-05-21 00:00",466
France,"2025-05-21 12:00",267
China,"2025-04-23 00:00",865
China,"2025-04-23 12:00","1,536"
China,"2025-04-24 00:00","2,257"
China,"2025-04-24 12:00","3,131"
China,"2025-04-25 00:00","4,807"
China,"2025-04-25 12:00","2,745"
China,"2025-04-26 00:00","2,810"
China,"2025-04-26 12:00","2,645"
China,"2025-04-27 00:00","3,222"
China,"2025-04-27 12:00","2,290"
China,"2025-04-28 00:00","2,616"
China,"2025-04-28 12:00","1,704"
China,"2025-04-29 00:00","1,958"
China,"2025-04-29 12:00","2,478"
China,"2025-04-30 00:00","3,208"
China,"2025-04-30 12:00","2,177"
China,"2025-05-01 00:00","4,496"
China,"2025-05-01 12:00","2,787"
China,"2025-05-02 00:00","3,419"
China,"2025-05-02 12:00","1,613"
China,"2025-05-03 00:00","3,288"
China,"2025-05-03 12:00","10,190"
China,"2025-05-04 00:00","5,151"
China,"2025-05-04 12:00","1,528"
China,"2025-05-05 00:00","2,328"
China,"2025-05-05 12:00","2,626"
China,"2025-05-06 00:00","1,807"
China,"2025-05-06 12:00","1,681"
China,"2025-05-07 00:00","3,008"
China,"2025-05-07 12:00","3,014"
China,"2025-05-08 00:00","2,127"
China,"2025-05-08 12:00","1,379"
China,"2025-05-09 00:00","1,888"
China,"2025-05-09 12:00","2,693"
China,"2025-05-10 00:00","3,228"
China,"2025-05-10 12:00","3,120"
China,"2025-05-11 00:00","2,112"
China,"2025-05-11 12:00","3,242"
China,"2025-05-12 00:00","3,632"
China,"2025-05-12 12:00","1,832"
China,"2025-05-13 00:00","2,392"
China,"2025-05-13 12:00","3,508"
China,"2025-05-14 00:00","2,012"
China,"2025-05-14 12:00","2,131"
China,"2025-05-15 00:00","2,627"
China,"2025-05-15 12:00","3,071"
China,"2025-05-16 00:00","1,834"
China,"2025-05-16 12:00","2,717"
China,"2025-05-17 00:00","4,720"
China,"2025-05-17 12:00","2,351"
China,"2025-05-18 00:00","3,054"
China,"2025-05-18 12:00","2,100"
