"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
445,"2025-05-11 12:00","3,303"
445,"2025-05-12 00:00",905
445,"2025-05-12 12:00","4,111"
445,"2025-05-13 00:00","1,452"
445,"2025-05-13 12:00","6,058"
445,"2025-05-14 00:00","4,074"
445,"2025-05-14 12:00",75
445,"2025-05-15 00:00",38
445,"2025-05-15 12:00",48
445,"2025-05-16 00:00",28
445,"2025-05-16 12:00",8
445,"2025-05-17 00:00","1,153"
445,"2025-05-17 12:00",123
445,"2025-05-18 00:00","2,272"
445,"2025-05-18 12:00",60
445,"2025-05-19 00:00","3,026"
445,"2025-05-19 12:00","1,423"
445,"2025-05-20 00:00","1,139"
445,"2025-05-20 12:00","1,843"
445,"2025-05-21 00:00",11
445,"2025-05-21 12:00","1,117"
6379,"2025-04-23 00:00",59
6379,"2025-04-23 12:00",57
6379,"2025-04-24 00:00",65
6379,"2025-04-24 12:00",89
6379,"2025-04-25 00:00",60
6379,"2025-04-25 12:00",42
6379,"2025-04-26 00:00",131
6379,"2025-04-26 12:00",113
6379,"2025-04-27 00:00",69
6379,"2025-04-27 12:00",50
6379,"2025-04-28 00:00",33
6379,"2025-04-28 12:00",62
6379,"2025-04-29 00:00",31
6379,"2025-04-29 12:00","4,626"
6379,"2025-04-30 00:00",48
6379,"2025-04-30 12:00",88
6379,"2025-05-01 00:00",577
6379,"2025-05-01 12:00",59
6379,"2025-05-02 00:00",38
6379,"2025-05-02 12:00",23
6379,"2025-05-03 00:00",57
6379,"2025-05-03 12:00","6,211"
6379,"2025-05-04 00:00",32
6379,"2025-05-04 12:00",80
6379,"2025-05-05 00:00",34
6379,"2025-05-05 12:00",77
6379,"2025-05-06 00:00",17
6379,"2025-05-06 12:00",26
6379,"2025-05-07 00:00",76
6379,"2025-05-07 12:00",54
6379,"2025-05-08 00:00",35
6379,"2025-05-08 12:00",47
6379,"2025-05-09 00:00",41
6379,"2025-05-09 12:00",26
6379,"2025-05-10 00:00",34
6379,"2025-05-10 12:00",150
6379,"2025-05-11 00:00",64
6379,"2025-05-11 12:00",87
6379,"2025-05-12 00:00",31
6379,"2025-05-12 12:00",38
6379,"2025-05-13 00:00",27
6379,"2025-05-13 12:00",49
6379,"2025-05-14 00:00",66
6379,"2025-05-14 12:00",55
6379,"2025-05-15 00:00","2,187"
6379,"2025-05-15 12:00",48
6379,"2025-05-16 00:00",45
6379,"2025-05-16 12:00",137
6379,"2025-05-17 00:00",77
6379,"2025-05-17 12:00",20
6379,"2025-05-18 00:00",39
6379,"2025-05-18 12:00",30
6379,"2025-05-19 00:00",94
6379,"2025-05-19 12:00",458
6379,"2025-05-20 00:00",63
6379,"2025-05-20 12:00",27
6379,"2025-05-21 00:00",51
6379,"2025-05-21 12:00",24
1080,"2025-04-23 00:00",202
1080,"2025-04-23 12:00",528
1080,"2025-04-24 00:00",581
1080,"2025-04-24 12:00",518
1080,"2025-04-25 00:00",157
1080,"2025-04-28 12:00",188
1080,"2025-04-29 00:00",508
1080,"2025-04-29 12:00",564
1080,"2025-04-30 00:00",505
1080,"2025-04-30 12:00",564
1080,"2025-05-01 00:00",541
1080,"2025-05-01 12:00",561
1080,"2025-05-02 00:00",551
1080,"2025-05-02 12:00",554
1080,"2025-05-03 00:00",551
1080,"2025-05-03 12:00",611
1080,"2025-05-04 00:00",533
1080,"2025-05-04 12:00",601
1080,"2025-05-05 00:00",565
1080,"2025-05-05 12:00",555
1080,"2025-05-06 00:00",547
1080,"2025-05-06 12:00",694
1080,"2025-05-07 00:00",118
1080,"2025-05-10 00:00",50
1080,"2025-05-10 12:00",357
1080,"2025-05-11 00:00",478
1080,"2025-05-11 12:00",528
1080,"2025-05-12 00:00",619
1080,"2025-05-12 12:00",732
1080,"2025-05-13 00:00",537
1080,"2025-05-13 12:00",561
1080,"2025-05-14 00:00",535
1080,"2025-05-14 12:00",531
1080,"2025-05-15 00:00",559
1080,"2025-05-15 12:00",506
1080,"2025-05-16 00:00",546
1080,"2025-05-16 12:00",582
1080,"2025-05-17 00:00",546
1080,"2025-05-17 12:00",531
1080,"2025-05-19 12:00",51
1080,"2025-05-20 00:00",525
1080,"2025-05-20 12:00",569
1080,"2025-05-21 00:00",535
1080,"2025-05-21 12:00",574
