Honeypots,"Top 15 values of type.keyword",Attacks
Cowrie,Cowrie,"1,049,588"
Honeytrap,Honeytrap,"796,657"
Sentrypeer,Sentrypeer,"454,983"
Dionaea,Dionaea,"262,605"
Heralding,Heralding,"23,998"
Ciscoasa,Ciscoasa,"23,861"
Redishoneypot,Redishoneypot,"22,303"
Tanner,Tanner,"19,883"
Adbhoney,Adbhoney,"12,800"
Mailoney,Mailoney,"12,756"
H0neytr4p,H0neytr4p,"10,041"
ConPot,ConPot,"4,983"
Miniprint,Miniprint,"2,796"
ElasticPot,ElasticPot,"1,463"
Honeyaml,Honeyaml,"1,320"
