AS,ASN,Count
14061,"DIGITALOCEAN-ASN","527,971"
267369,"MAFREDINE TELECOMUNICACOES EIRELI","340,925"
396982,"GOOGLE-CLOUD-PLATFORM","220,404"
47890,"Unmanaged Ltd","204,617"
215540,"Global Connectivity Solutions Llp","187,448"
398019,DYNU,"175,893"
213194,"Nechaev Dmitry Sergeevich","87,213"
132203,"Tencent Building, Kejizhongyi Avenue","68,760"
4134,Chinanet,"55,129"
401120,"CHEAPY-HOST","48,397"
